Trait1,Trait2,Category,Corr.100x100.Low,BF.100x100.Low,Corr.100x100.Mid,BF.100x100.Mid,Corr.100x100.High,BF.100x100.High,Corr.Astral,BF.Astral,BF.Astral.Untransformed,Corr.Astral.Untransformed,BF.SVD,Corr.SVD,BF.RAxML,Corr.RAxML,Contemporary.Corr,Contemporary.P
fwc,tmin,trait-envi,-0.218882994,3.227858,-0.032934867,-0.326166,0.256889625,3.68949,0.0454,0.4474,-0.2955,-0.0435,-0.0581,-0.0699,0.5126,-0.1036,0.099819524,0.455957975
fwc,tvar,trait-envi,-0.451158082,11.60817,0.049008828,0.343412,0.505513239,15.696382,-0.0473,-0.4722,4.4435,0.2583,4.793,0.2876,5.3561,0.3224,0.011797745,0.929959283
sd,nmass,trait-trait,-0.373815309,7.01302,-0.207557182,1.980844,-0.063769997,0.17099,-0.1151,2.4355,0.8989,0.1677,-0.1095,0.1023,3.3782,0.2173,0.183801705,0.167242382
sd,d13c,trait-trait,-0.174753805,1.722958,0.066856603,-0.623974,0.319142907,5.333678,0.0887,0.287,157.3199,-0.971,237.5189,-0.9945,215.6764,-0.9898,0.308197311,0.018588876
sd,cnratio,trait-trait,0.036238106,0.841088,0.202780779,2.34774,0.371967629,7.601342,0.2235,3.4758,0.7671,0.0878,0.0065,0.0038,0.3378,0.053,-0.196083389,0.140163741
sd,elev,trait-envi,-0.141992815,1.0921,0.182649308,2.273954,0.438129123,12.654212,0.3579,6.5846,9.9184,0.4586,9.707,0.4454,8.9318,0.387,0.500082544,6.41E-05
sd,map,trait-envi,-0.256664551,3.646712,0.027660255,0.337748,0.354698371,8.069236,0.0808,0.5065,0.9686,-0.0814,-0.2918,-0.0481,0.9929,-0.0535,0.387201638,0.002675715
sd,mat,trait-envi,-0.34372328,7.81601,-0.028348778,-0.114808,0.244354765,3.438094,-0.0679,0.5492,6.3429,-0.3455,4.9571,-0.3259,3.3708,-0.2436,0.101085799,0.450233995
sd,pet,trait-envi,-0.309590142,5.942556,0.010686354,-0.356394,0.292881732,4.240622,0.0222,-0.4354,2.1845,0.1909,0.3705,0.1924,1.9741,0.1935,0.109560622,0.412961038
sd,rfl2mm,trait-envi,-0.169922892,1.90338,0.130006692,1.422016,0.417096624,10.50508,0.1595,1.6389,8.9525,0.3857,0.1616,-0.0591,0.9073,-0.0127,0.466011972,0.000227218
